frequency(MHz),757,825,885,952,1012,1080,1140,1207,1275,1335,1402,1462,1530
3MM,1.2392,1.3103,1.3500,1.3839,1.3736,1.3499,1.3219,1.2762,1.2363,1.1866,1.1254,1.0699,1.0000
FDTD,1.2726,1.3495,1.4261,1.4520,1.4174,1.3732,1.3295,1.2758,1.2258,1.1769,1.1092,1.0546,1.0000
Schmidt,0.9692,1.0374,1.1087,1.1485,1.1577,1.1607,1.1522,1.1437,1.1283,1.1022,1.0765,1.0415,1.0000
BiCG,0.9592,1.0472,1.0919,1.1280,1.1502,1.1505,1.1445,1.1290,1.1165,1.0931,1.0666,1.0333,1.0000
Walsh,1.2865,1.3629,1.4348,1.4593,1.4372,1.3931,1.3442,1.2877,1.2405,1.1840,1.1230,1.0630,1.0000
BScholes,1.3895,1.4374,1.4873,1.5057,1.4638,1.4102,1.3618,1.3002,1.2449,1.1854,1.1133,1.0620,1.0000
CFD,1.2227,1.3227,1.3676,1.3876,1.3764,1.3629,1.3274,1.2601,1.2219,1.1777,1.1084,1.0462,1.0000
CNN_1.5M,1.4794,1.4762,1.4670,1.4821,1.4333,1.3800,1.3331,1.2715,1.2166,1.1579,1.0817,1.0307,1.0000
CNN_1.8M,1.5310,1.5483,1.5377,1.5072,1.5289,1.4494,1.3997,1.3127,1.2609,1.1901,1.1283,1.0587,1.0000
CNN_2.4M,1.3473,1.4177,1.4534,1.4769,1.4578,1.4326,1.3692,1.3165,1.2651,1.2115,1.1393,1.0766,1.0000
SortNet,1.2792,1.3820,1.4271,1.4508,1.4199,1.3895,1.3393,1.2805,1.2347,1.1658,1.1027,1.0508,1.0000
LSTM,1.2690,1.3098,1.3295,1.3654,1.3399,1.3432,1.3076,1.2478,1.1887,1.1228,1.0882,1.0310,1.0000
RNN,1.2574,1.2996,1.3349,1.3765,1.3730,1.3446,1.3100,1.2639,1.2243,1.1677,1.1110,1.0420,1.0000
Transpose,1.2415,1.3698,1.4072,1.3911,1.3857,1.3490,1.3197,1.2634,1.2148,1.1758,1.1159,1.0653,1.0000
SRAD,1.3069,1.3783,1.4281,1.4367,1.4192,1.3823,1.3515,1.2652,1.2229,1.1798,1.0879,1.0335,1.0000
RL-PPO,1.4524,1.4584,1.4405,1.4100,1.3823,1.3641,1.3231,1.2678,1.2165,1.1649,1.0787,1.0231,1.0000
Diffusion,1.3069,1.3941,1.4336,1.4457,1.4351,1.4034,1.3577,1.2678,1.1833,1.1498,1.0882,1.0485,1.0000
Reduct,1.1636,1.2735,1.3377,1.3657,1.3512,1.3197,1.2831,1.2483,1.2002,1.1495,1.1018,1.0520,1.0000
BWtest,1.1930,1.3175,1.3622,1.3793,1.3645,1.3235,1.2814,1.2372,1.1987,1.1538,1.1046,1.0535,1.0000
FFT,1.3072,1.3938,1.4615,1.4917,1.4554,1.4236,1.3762,1.3034,1.2523,1.2027,1.1179,1.0517,1.0000
GeMM,1.3771,1.4350,1.4731,1.5116,1.4952,1.4698,1.4293,1.3713,1.3104,1.2709,1.1322,1.0711,1.0000
DeiT_s,1.4131,1.4298,1.4749,1.4924,1.4629,1.4295,1.3656,1.2790,1.1964,1.1564,1.0992,1.0549,1.0000
ViT_t,1.5908,1.5962,1.5999,1.5624,1.5275,1.4780,1.4117,1.3311,1.2725,1.2101,1.1221,1.0669,1.0000
ViT_s,1.3862,1.4589,1.4635,1.4957,1.4595,1.4258,1.3632,1.2706,1.1959,1.1441,1.0899,1.0497,1.0000
ViT_b,1.2736,1.3414,1.3583,1.3996,1.3745,1.3333,1.2820,1.1736,1.1493,1.1080,1.0645,1.0364,1.0000
XCiT,1.3297,1.4041,1.4288,1.4745,1.4396,1.4275,1.3499,1.2969,1.2489,1.1942,1.1108,1.0562,1.0000
DeiT_t,1.5904,1.5891,1.5780,1.5744,1.5304,1.4647,1.4062,1.3340,1.2661,1.1982,1.1175,1.0636,1.0000
ShuffleN,1.5915,1.6281,1.5941,1.5592,1.5553,1.5137,1.4463,1.3730,1.3030,1.2231,1.1248,1.0558,1.0000
RegNet,1.3399,1.4279,1.4610,1.4794,1.4573,1.4335,1.3667,1.2753,1.2115,1.1598,1.0985,1.0520,1.0000
ResN50,1.3521,1.3938,1.4361,1.4225,1.4081,1.3891,1.3422,1.2955,1.2203,1.1701,1.0823,1.0357,1.0000
ResN101,1.3397,1.3738,1.4334,1.4568,1.4215,1.3917,1.3402,1.2821,1.2190,1.1706,1.0876,1.0406,1.0000
ResN152,1.3411,1.4074,1.4325,1.4592,1.4136,1.4011,1.3474,1.2852,1.2173,1.1661,1.0924,1.0363,1.0000
VGG19,1.3375,1.3982,1.4293,1.4426,1.4075,1.3851,1.3402,1.2768,1.2256,1.1352,1.0674,1.0259,1.0000
