frequency(MHz),757,825,885,952,1012,1080,1140,1207,1275,1335,1402,1462,1530
3MM,91.03,98.25,102.36,106.38,112.21,121.52,130.05,140.59,150.54,160.76,174.43,186.99,205.79
FDTD,95.71,102.97,110.00,113.45,117.09,120.86,124.84,130.34,135.40,141.02,148.80,156.79,165.04
Schmidt,46.50,47.38,48.24,49.02,50.27,52.22,54.24,56.29,59.14,61.79,64.85,68.34,72.74
BiCG,55.37,57.65,58.97,60.41,62.54,65.52,68.43,71.70,75.67,79.56,84.15,89.41,95.36
Walsh,82.74,87.30,91.65,94.01,97.05,101.54,105.81,111.59,116.45,122.51,129.64,137.34,146.49
BScholes,129.79,139.46,150.02,155.11,161.32,168.79,175.01,184.61,193.49,203.59,217.11,227.98,242.47
CFD,83.11,90.20,94.22,98.81,103.56,108.91,115.14,125.03,132.95,140.86,153.00,165.04,176.07
CNN_1.5M,72.31,72.94,73.84,72.80,74.78,78.18,79.60,84.69,88.50,92.45,99.95,104.23,107.65
CNN_1.8M,98.20,98.73,98.81,101.62,101.44,105.47,109.87,115.26,123.31,129.27,137.48,145.00,153.20
CNN_2.4M,101.12,109.11,114.08,118.70,125.29,133.01,142.26,152.48,162.40,172.82,187.34,199.88,219.23
SortNet,84.03,89.57,92.92,95.94,100.43,104.97,110.64,117.58,123.80,132.25,141.10,149.34,158.35
LSTM,89.00,96.30,101.33,103.88,111.19,116.06,123.21,133.64,144.25,156.28,164.66,177.27,186.51
RNN,89.25,96.83,100.62,102.47,108.09,115.14,121.74,130.76,140.09,150.85,162.38,175.87,185.20
Transpose,82.14,89.86,96.29,101.43,104.66,110.40,115.18,122.20,129.11,135.07,143.61,152.07,163.20
SRAD,93.54,99.26,104.36,109.45,113.65,119.78,124.58,134.88,142.22,148.70,162.98,172.48,180.18
RL-PPO,48.83,49.16,49.66,50.51,51.64,52.56,54.61,56.42,59.20,61.73,66.60,70.10,71.81
Diffusion,122.14,136.50,144.60,149.70,155.27,163.95,172.56,188.25,203.59,212.73,225.65,236.47,248.90
Reduct,88.35,95.97,101.17,104.20,107.66,112.28,115.95,121.20,126.32,132.18,138.77,145.96,154.88
BWtest,86.13,94.16,97.80,100.34,102.65,106.57,110.03,114.78,118.84,123.63,129.35,135.89,143.44
FFT,84.39,89.25,93.69,96.66,101.72,106.51,111.34,119.53,125.95,132.37,143.58,153.67,162.81
GeMM,90.67,95.96,100.36,105.17,112.94,121.82,131.34,143.42,158.37,169.88,198.50,217.64,243.62
DeiT_s,50.29,54.82,56.46,58.04,60.83,63.86,67.17,72.23,77.40,80.65,85.26,89.27,94.17
ViT_t,38.97,39.00,39.06,40.00,41.08,42.46,44.45,47.44,49.52,52.18,56.27,59.31,63.27
ViT_s,51.01,53.54,56.70,57.84,61.14,63.79,67.15,72.36,77.37,81.06,85.65,88.93,93.76
ViT_b,59.53,64.22,68.33,70.57,74.95,80.74,86.13,96.55,101.81,106.77,113.31,118.03,123.39
XCiT,41.20,43.29,44.86,45.73,47.87,49.62,53.25,56.58,60.16,63.93,69.49,74.08,79.34
DeiT_t,39.01,39.12,39.56,39.57,40.87,42.79,44.57,47.28,49.61,52.75,56.55,59.42,63.21
ShuffleN,38.40,38.73,39.74,40.80,41.08,42.39,44.56,47.14,49.67,52.92,57.55,61.31,64.72
RegNet,51.57,54.58,57.12,59.96,63.33,66.40,71.89,78.96,85.47,91.35,97.85,103.40,110.42
ResN50,54.13,58.60,61.40,65.94,69.55,73.92,79.01,84.62,92.33,99.05,109.15,115.76,121.70
ResN101,55.39,60.93,62.68,65.74,70.25,75.40,80.82,87.30,94.98,101.76,112.26,119.50,126.11
ResN152,55.59,59.58,62.91,65.67,70.59,74.57,80.07,86.95,94.79,101.60,111.44,119.12,125.19
VGG19,59.03,63.63,66.75,70.77,75.53,80.55,86.10,92.75,100.13,110.11,119.34,125.32,129.80
